Data,Previsao_Z
2026-03-06,3.577942096530869
2026-03-07,3.598858054772825
2026-03-08,3.4729955497747875
2026-03-09,3.485818973804991
2026-03-10,3.7103587709832295
2026-03-11,3.7681785058671875
2026-03-12,4.056374491614712
2026-03-13,3.8056990144299516
2026-03-14,3.7002645234959735
2026-03-15,3.743757180544338
2026-03-16,3.743082382556056
2026-03-17,3.6172654391453594
2026-03-18,3.3801136694162763
2026-03-19,3.440959697987415
2026-03-20,3.3079445620293564
2026-03-21,3.3027417417513796
2026-03-22,3.137871948405097
2026-03-23,3.261791773174872
2026-03-24,3.156844972625407
2026-03-25,3.800849000444935
2026-03-26,3.849160725094989
2026-03-27,3.613688034697735
2026-03-28,3.692677992191483
2026-03-29,3.613122266153315
2026-03-30,3.2298600208397215
2026-03-31,3.4653151845965264
2026-04-01,3.451152448237534
2026-04-02,3.398663663764228
2026-04-03,3.323741053068284
2026-04-04,3.495026215155689
2026-04-05,3.2381080949904852
2026-04-06,3.2923269643042716
2026-04-07,3.1366884573850253
2026-04-08,3.194214583576959
2026-04-09,3.255394331539291
2026-04-10,3.2097896740315597
2026-04-11,3.3134469352330536
2026-04-12,3.312489661829775
2026-04-13,3.4270088367143647
2026-04-14,3.3679765708353213
2026-04-15,3.3100209589508824
2026-04-16,3.0562231424464037
2026-04-17,3.206552682055512
2026-04-18,3.2559043106011036
2026-04-19,3.263874736401416
2026-04-20,3.4686401790450807
2026-04-21,3.2268988458133894
2026-04-22,3.028758646139943
2026-04-23,2.7787818308804026
2026-04-24,2.753629179164727
2026-04-25,2.682155184917746
2026-04-26,2.779533255133228
2026-04-27,2.6629676375950413
2026-04-28,2.7958312562562115
2026-04-29,3.0333043916187052
2026-04-30,3.1669191674416743
2026-05-01,2.957137488509568
2026-05-02,2.882174179201712
2026-05-03,2.6930344907931096
2026-05-04,2.663316610663126
2026-05-05,2.4628675781237823
2026-05-06,2.5815205997623663
2026-05-07,2.343497794345259
2026-05-08,2.2341537957474054
2026-05-09,2.245158726204634
2026-05-10,2.4969770560381344
2026-05-11,2.7348344451782376
2026-05-12,2.464681076682354
2026-05-13,2.5241103182387596
2026-05-14,2.1497547449545613
2026-05-15,2.184950857069103
2026-05-16,2.086544897440521
2026-05-17,2.296317675114406
2026-05-18,2.1051382384856763
2026-05-19,1.988099363536192
2026-05-20,2.1674885121046867
2026-05-21,2.051537422916821
2026-05-22,1.9629718475441023
2026-05-23,1.9717053892929295
2026-05-24,1.8533990675047518
2026-05-25,2.0419741769832096
2026-05-26,2.1690867533725853
2026-05-27,2.4240994789345165
2026-05-28,2.3266153523656237
2026-05-29,2.2305427693797317
2026-05-30,2.1964048299219585
2026-05-31,2.1911047317781436
2026-06-01,2.5357619227429695
2026-06-02,2.3572029381110924
2026-06-03,2.4696780942980396
2026-06-04,2.1937030296522044
2026-06-05,2.1937453135046354
2026-06-06,2.5003137748061235
2026-06-07,2.606279936397025
2026-06-08,2.4456520646926996
2026-06-09,2.368979120792145
2026-06-10,2.266408150054922
2026-06-11,2.3091111939740863
2026-06-12,2.461315426425507
2026-06-13,2.439638878233161
2026-06-14,2.5135454109237494
2026-06-15,2.600437792171115
2026-06-16,2.436746134342782
2026-06-17,2.443448543398993
2026-06-18,2.0708452772984973
2026-06-19,1.9403224425516183
2026-06-20,1.9346185852917566
2026-06-21,2.025268059835041
2026-06-22,2.028912149305745
